"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"c0vw","Nasi Ayam Kicap Berapi By 2 Sisters (Kajang Food Station)","Ayam","4.5","(500+)","Kajang",""
"kcy6","Smoothies Bay (Impian Kajang)","Juice","4.7","(100+)","Kajang",""
"q7qg","Each A Cup (Lotus Kajang)","Minuman","4.7","(500+)","Kajang",""
"o4dw","Bob Burger (Batu 13)","Burger","4.3","(100+)","Kajang",""
"et4f","DONUTS BAR (KAJANG)","Bread","4.8","(100+)","Kajang",""
"w05u","Daily Fresh ( Lotus Kajang )","Asia","5","(5)","Kajang",""
"orn7","Empire Sushi (Lotus's Kajang)","Sushi","4.7","(500+)","Kajang",""
"hcc1","Mini Wok (Foodcourt Lotus's  Kajang)","Nasi Goreng","4.6","(93)","Kajang",""
"u7fs","FC02 Nasi Ayam (Lotus's Kajang)","Malaysia","4.7","(100+)","Kajang",""
"sixr","D'Laksa (Lotus Kajang)","Laksa","4.5","(500+)","Kajang",""
"ed1w","Hot & Roll (Lotus Kajang)","Balutan","4.9","(91)","Kajang",""
"sga1","RESTORAN MAULANA","Malaysia","4.7","(100+)","Kajang",""
"bg71","Relex Portugese Grill (Lotuss Foodcourt Kajang)","Makanan laut","4.4","(100+)","Kajang",""
"q8kr","Na Sook Thai Kicthen @Kajang","Thai","4.8","(100+)","Kajang",""
"l4rt","Restoran Mee Bandung Muar (D' Muar)","Malaysia","4.6","(5000+)","Kajang",""
"ztpz","KADIR PASEMBOR (Lotus's Kajang)","Malaysia","2.7","(30)","Kajang",""
"o9eg","Tomyam ML Classic (Jalan Cheras)","Nasi Goreng","4.6","(3000+)","Kajang",""
"jvgp","Mee Kari Power M.Kajang","Noodles","4.7","(100+)","Kajang",""
"nix1","The Soya","Desserts","4.9","(63)","Kajang",""
"xrbg","WARUNG NASI KERABU MOKMA","Nasi Kerabu","4.6","(500+)","Kajang",""
"p5jb","Restoran Ayza's (Metro Avenue)","Malaysian","4.5","(2000+)","Kajang",""
"qgds","Mokma Patin tempoyak sg pahang","Malaysian","5","(2)","Kajang",""
"o4ln","Restoran Nasi Kandar Mazlina Maju","Nasi Kandar","4.5","(1000+)","Kajang",""
"glx9","Burgerman","Burgers","4.7","(100+)","Kajang",""
"n6ss","Nasi Padang Minang Jaya","Malaysian","4.3","(1000+)","Kajang",""
"xrgf","Mat Rock Ayam Goreng Kunyit (Kajang)","Malaysian","4.7","(500+)","Kajang",""
"gfvj","Heritage Red Card Cafe (Kajang)","Malaysian","3.4","(29)","Kajang",""
"n9wc","Restoran Ayam Kampung & Gulai Kawah","Chicken","4.5","(1000+)","Kajang",""
"bkp0","Arina Tomyam","Fried Rice","4.6","(100+)","Kajang",""
"snnr","My Ayam Ketuk Bandar Kajang","Malaysian","4.7","(100+)","Kajang",""
"o3ea","Warung Mok Ma","Chicken","4.6","(5000+)","Kajang",""
"h9au","The Shawarma And Pizza Station (Kajang)","Middle Eastern","4.7","(7)","Kajang",""
"djyl","Fatimah Chew Street Food","Noodles","4","(100+)","Kajang",""
"u73f","I-Sushiyaki","Sushi","4.6","(100+)","Kajang",""
"o7ds","Kyros Kebab (Metro Kajang)","Shawarma","4.5","(1000+)","Kajang",""
"p1xm","Restoran JR Ehsan","Roti Canai","4.2","(500+)","Kajang",""
"eu81","Ishake @ Bandar Kajang","Beverages","4.8","(60)","Kajang",""
"rsrj","RESTAURANT ARIYAN","Western","2.5","(10)","Kajang",""
"p9zn","Nasi Kukus & Nasi Kerabu ( Yati )","Nasi Kukus","4.7","(3000+)","Kajang",""
"w1lx","MEGAT SATE KAJANG (WARISAN HAJI RONO)","Satay","4.5","(1000+)","Kajang",""
"n5mi","Senandong Malam","Fried Rice","4.4","(5000+)","Kajang",""
"p6yu","Warung Bakso Solo Sido Mampir","Soups","4.5","(2000+)","Kajang",""
"gd27","Mr Pan Mee Plaza Metro Kajang","Asian","4.9","(71)","Kajang",""
"u900","Pasta & Co. (Kajang)","Pasta","4.6","(500+)","Kajang",""
"yr5g","RESTAURANT TALITA","Malaysian","4.8","(100+)","Kajang",""
"pjgz","Nasi Arab Hadramaut","Middle Eastern","4.2","(62)","Kajang",""
"e1ed","ROTI BAKERY CAFE","Bread","4.5","(100+)","Kajang",""
"cv7h","RESTORAN PAANDIAN CORNER","Malaysian","4.5","(1000+)","Kajang",""
"kyc4","NUR Roti Canai","Asian","3","(39)","Kajang",""
"xmqr","Nur Tom yam ( Bandar Kajang )","Malaysian","3.2","(72)","Kajang",""
"iqia","Ayam Gepuk Pak Agus Pedas Terciduk (Kajang)","Asian","4.3","(1000+)","Kajang",""
"a0gu","Restoran Kajang Raya","Malaysian","4.7","(1000+)","Kajang",""
