"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"n3gw","Nasi Kandar Mr Mamak (Telok Gadong)","Malaysian","4.4","(3000+)","Klang",""
"rq4m","Dee Ilham Seafood","Thai","4.2","(59)","Klang",""
"v2el","Burger Mamak Bistro","Chicken Chop","4.4","(100+)","Klang",""
"wibq","LEGEND VILLAGE RESTAURANT KAMPUNG DELEK BARU","Malaysian","4.4","(100+)","Klang",""
"ix3v","Warung Sk","Malaysian","5","(3)","Klang",""
"p3mg","Restoran Ming Ho 明和海鮮飯店","Chinese","3.9","(4000+)","Klang",""
"kbgg","Burger Queenz","Burgers","4.8","(6)","Klang",""
"w9mg","Restoran Habeeb One Bistro","Roti Canai","4.3","(1000+)","Klang",""
"zhak","RESTORAN SYED ONE BISTRO","Malaysian","4.7","(100+)","Klang",""
"o98d","Spice Leaf Restaurant","Indian","4","(85)","Klang",""
"u4hm","Kepak Ayam Madu (Pandamaran)","Soups","4.7","(100+)","Klang",""
"jv92","Achi's Kitchen","Indian","4.9","(44)","Klang",""
"d3jn","Nasi Lemak Basmathi - Taman Chi Liung","Malaysian","4.7","(3000+)","Klang",""
"aba3","Mama Kitchen","Malaysian","4.9","(62)","Klang",""
"vxm7","Mr Mamak Pandamaran","Roti Canai","4.2","(500+)","Klang",""
"t3ze","RESTORAN REZEKI AL MUBARAK","Malaysian","4.5","(500+)","Klang",""
"mp2d","好味吉胆炒鱼 Good Taste Pulau Ketam Fried Fish","Asian","1","(1)","Klang",""
"o5qf","Restaurant Vasagaie","Indian","4.6","(3000+)","Klang",""
"p4jb","Restoran Nasi Kandar Subaidah (Klang)","Nasi Kandar","4.5","(10000+)","Klang",""
"i66j","NASIKANDAR HABEEB ONE BISTRO","Malaysian","5","(3)","Klang",""
"e42u","Syukor Burger X Crispy Station Pandamaran","Burgers","4.8","(84)","Klang",""
"a06d","Ice Please","Beverages","4.7","(35)","Klang",""
"ne51","Suria Tom yam","Fried Rice","4.3","(500+)","Klang",""
"vj5y","My Delicious Burger 88","Burgers","3.9","(19)","Klang",""
"r7rp","Restoran Duangdee","Fried Rice","4.5","(1000+)","Klang",""
"wci6","Restoran Shanmuga (Bukit Tinggi)","Malaysian","4.5","(1000+)","Klang",""
"molq","DCHETTYS BRIYANY AND SPICE BUKIT TINGGI","Indian","4.6","(100+)","Klang",""
"mww3","Town Best Burger Food Stall ( Queen 1 - Depan Masjid Port Klang )","Burgers","4.6","(100+)","Klang",""
"n7ta","Smiley's Banana Leaf","Indian","4","(1000+)","Klang",""
"prwx","Warong Warisan Asli","Malaysian","4.6","(3000+)","Klang",""
"qki9","Malek Maju Mamak Kitchen","Asian","4.4","(61)","Klang",""
"t4nb","Restoran Pak Joe's","Malaysian","4.7","(500+)","Klang",""
"vstg","TOMYAM AWESOME PAK JOE'S","Malaysian","4.5","(100+)","Klang",""
"mxd4","TOM YUM NO. 1 PAK JOE'S","Malaysian","4.9","(37)","Klang",""
"cebb","Oh Warkop - Authentic Indonesian Cuisine","13610 min","4.7","(100+)","Klang",""
"s9zy","Mr Mamak (Bukit Tinggi)","Malaysian","4.5","(5000+)","Klang",""
"ytye","D'Rantau Tomyam","Thai","4.8","(37)","Klang",""
"n4nx","BHUKARRY NASI  KANDAR (Klang)","Malaysian","4.5","(5000+)","Klang",""
"r4oh","Restoran Al-Bidayah (Klang)","Roti Canai","4.5","(4000+)","Klang",""
"yupa","TOM YUM POWER PAK JOE'S","Malaysian","4.6","(100+)","Klang",""
"q411","TOM YUM SPECIALIST (PAK JOE'S)","Malaysian","4.6","(100+)","Klang",""
"nkvk","SEGAR CORNER","Asian","4.8","(100+)","Klang",""
"id97","NASI BAKAR MELETOP - PEDAS BERAPI","Chicken","4.8","(100+)","Klang",""
"pmtt","THIRSTY GARDEN SPORTS BAR @ KITCHEN","Western","3.2","(31)","Klang",""
"j2pm","Ahmad Tomyam","Malaysian","4.6","(2000+)","Klang",""
"tsqh","Restoran Karthik","Asian","2.8","(12)","Klang",""
"rdal","Burger Cedok'z (Taman Ehsan Jaya)","Malaysian","5","(13)","Klang",""
"oiwt","Papa makanan laut","Fried Rice","4.2","(100+)","Klang",""
"wozj","RESTORAN NASIKANDAR HABEEB ONE BISTRO","Malaysian","2.8","(19)","Klang",""
"fo8a","SRI PANGLIMA CORNER","Roti Canai","4.1","(100+)","Klang",""
"jmvi","Restoran Akram","Fried Rice","4.5","(100+)","Klang",""
"o2wr","Restoran Arman NZ","Roti Canai","4.3","(2000+)","Klang",""
"ilhe","Anda gembira seafood","Malaysian","4.5","(500+)","Klang",""
"vr9y","Official Street Burger (Rantau Panjang, Klang)","Burgers","5","(10)","Klang",""
"xsyf","ARR Sungai Jati (Arris Thai Tomyam Sg Jati)","Asian","4.5","(100+)","Klang",""
"b8mf","Zdi Tomyam Seafood","Malaysian","4.6","(1000+)","Klang",""
"rn2s","RESTORAN DIN'S CORNER (LRT3 JLN MERU)","Malaysian","5","(39)","Klang",""
"ekcp","PENYET HOUSE","Ayam Penyet","4.7","(100+)","Klang",""
