"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"s1bx","Kakatoo Restaurant (Nu Sentral","Chicken","3.1","(37)","Kuala Lumpur",""
"j1gt","Western - Quizinn NU Sentral","Seafood","4.9","(15)","Kuala Lumpur",""
"o8dr","B.BAP ON THE GO","Korean","4.6","(500+)","Kuala Lumpur",""
"ogid","One Piece Onigirazu (Nu Sentral)","Seafood","4.7","(62)","Kuala Lumpur",""
"wrm1","Costa Coffee (Q Sentral)","Beverages","4.7","(3)","Kuala Lumpur",""
"x5jl","37COCOLAB","Beverages","4.7","(84)","Kuala Lumpur",""
"c9ry","Chicken Rice - Quizinn NU Sentral","Chicken","4.6","(100+)","Kuala Lumpur",""
"xcxx","SHERIZAS FOOD REALM - BOLLYWOOD TADKA","Chicken","3.6","(100+)","Kuala Lumpur",""
"p9u7","Restaurant Tazyeen","Middle Eastern","4.6","(100+)","Kuala Lumpur",""
"q4lv","Mr. Tuk Tuk (Nu Sentral)","Thai","4.7","(1000+)","Kuala Lumpur",""
"r6cg","Cong Caphe (Nu Sentral)","Coffee","4.7","(54)","Kuala Lumpur",""
"rn6b","Ayam Penyet AP Nu Sentral","Malaysian","4.5","(84)","Kuala Lumpur",""
"m2bi","Dindigul Thalappakatti","Indian","4.3","(1000+)","Kuala Lumpur",""
"eo3x","MBG Fruits (NU Sentral) (Resto)","Asian","4.9","(15)","Kuala Lumpur",""
"q3av","Aroii Thai Bowl Noodle & Street Food (Nu Sentral Mall)","Thai","4.7","(100+)","Kuala Lumpur",""
"n5fp","Gem Restaurant","Indian","4.4","(100+)","Kuala Lumpur",""
"u2rf","KEDAI KOPI MALAYA @ KL SENTRAL","Malaysian","4.3","(35)","Kuala Lumpur",""
"t6f6","GSC (NU Sentral)","Cakes","4.9","(100+)","Kuala Lumpur",""
"n0ie","My Mama's Kitchen","Indian","4.2","(500+)","Kuala Lumpur",""
"w0zc","Haagen Dazs (NU Sentral)","Beverages","4.9","(67)","Kuala Lumpur",""
"uy54","Mama Bento","Asian","3","(16)","Kuala Lumpur",""
"nlls","Oh Yeah Banana Leaf (Brickfields)","Malaysian","3.8","(2)","Kuala Lumpur",""
"w6g5","O'Briens Irish Sandwich Cafe (Nu Sentral)","Sandwiches","4.8","(100+)","Kuala Lumpur",""
"p4nr","Aariyabhavan","Indian","4.5","(1000+)","Kuala Lumpur",""
"joc1","Seni Sattisorru (Petaling Jaya)","Indian","4.5","(47)","Kuala Lumpur",""
"v7ha","MOGHUL MAHAL RESTAURANT (Brickfield)","Middle Eastern","4.2","(100+)","Kuala Lumpur",""
"c2dp","Restoran Sri Paandi","Indian","4.5","(500+)","Kuala Lumpur",""
"n2kr","Baba Low (Bangsar Utama)","Malaysian","4.6","(100+)","Kuala Lumpur",""
"ktp3","FAMOUS HUSSAIN NASI KANDAR","Malaysian","4.3","(100+)","Kuala Lumpur",""
"q8va","Restoran Jaya (Brickfields)","Malaysian","4.2","(1000+)","Kuala Lumpur",""
"n5ma","Restoran Rk Nabilaa Maju","Malaysian","4.1","(1000+)","Kuala Lumpur",""
"t2mm","Restoran Chat Masala (pure vegetarian)","Indian","4.4","(1000+)","Kuala Lumpur",""
"nimq","Restoran Anak Baba","Malaysian","4.8","(5)","Kuala Lumpur",""
"m2xp","Singh Chapati House","Indian","4.1","(3000+)","Kuala Lumpur",""
"u5kq","Legend's Claypot Briyani","Briyani","4.6","(100+)","Kuala Lumpur",""
"k8yl","Nammaveedu vasanta bhavan","13655 min","4.5","(100+)","Kuala Lumpur",""
"mci8","Bricks Factory Cafe","Malaysian","5","(14)","Kuala Lumpur",""
"q8ik","Adyar Ananda Bhavan A2B: High Class Indian Veg Restaurant (Brickfields)","Chicken","4.3","(500+)","Kuala Lumpur",""
"p3zl","Indian Spices Village (Bangsar)","Indian","4.5","(1000+)","Kuala Lumpur",""
"zcbk","Wak Satay in Bangsar","Western","4.9","(34)","Kuala Lumpur",""
"zhdh","Pizza town","Pizza","4.4","(57)","Kuala Lumpur",""
"z021","Star Kebab","Middle Eastern","4.9","(46)","Kuala Lumpur",""
"s4hj","Restoran Fathima","Roti Canai","4.3","(100+)","Kuala Lumpur",""
"kgfu","Nadia Cafe (Wisma Leopad)","Vegetarian","4","(13)","Kuala Lumpur",""
"u9ls","Nasi Kandar Rasmeena","Chicken","4.6","(5000+)","Kuala Lumpur",""
"nyw9","Ah goh Restoran","Chinese","4.4","(500+)","Kuala Lumpur",""
"ybca","Unkle Canai (Kampung Attap)","Malaysian","4.9","(90)","Kuala Lumpur",""
"e2sp","Maria's Steakcafe (Bangsar)","Pasta","3.7","(35)","Kuala Lumpur",""
"n9fp","Gandhi's Vegetarian Restaurant","Vegetarian","4.6","(500+)","Kuala Lumpur",""
"emsn","NARATHIWAT KITCHEN","Fried Rice","4.6","(100+)","Kuala Lumpur",""
"g99h","MY81 HYDERABAD DUM BIRYANI","Indian","4.5","(100+)","Kuala Lumpur",""
"l9zm","Heritage One Station","Chicken","4.5","(500+)","Kuala Lumpur",""
"xuwd","Gridiron Sports Cafe & Lounge","Pizza","4.3","(78)","Kuala Lumpur",""
