"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"s1wn","DubuYo (Tropicana Gardens Mall)","Korean","4.6","(1000+)","Petaling Jaya",""
"f157","meeko coffee - Tropicana Avenue","Asian","5","(2)","Petaling Jaya",""
"dwic","Siput Moci","Malaysian","4","(15)","Petaling Jaya",""
"cmtw","Salad Atelier (Tropicana Gardens Mall)","Asian","4.3","(500+)","Petaling Jaya",""
"hga6","Shawarma Station (Tropicana Garden Mall)","Middle Eastern","4.6","(15)","Petaling Jaya",""
"s0bx","Asam Pedas Premier (TGM)","Malaysian","4.4","(500+)","Petaling Jaya",""
"kmog","Hercaa (Village Market Hall Tropicana Gardens Mall)","Beverages","4.9","(10)","Petaling Jaya",""
"uluz","Kinori - Tropicana Gardens Mall","Japanese","4.9","(8)","Petaling Jaya",""
"t6ph","Nyonya Cendol","Malaysian","4.5","(2000+)","Petaling Jaya",""
"vle1","GRAND TAIPEI (Tropicana Garden)","Asian","4.9","(7)","Petaling Jaya",""
"ykw4","Sushi King (Tropicana Garden)","Sushi","4.6","(500+)","Petaling Jaya",""
"g1bm","Uncle Lee Chicken Rice","Chicken","4.7","(100+)","Petaling Jaya",""
"e0rx","Ichiban Boshi (Sunway Giza)","Japanese","4.7","(100+)","Petaling Jaya",""
"x9ka","Roberto’s(Tropicana Gardens Mall)","Italian","5","(1)","Petaling Jaya",""
"teux","SHUCKED (Tropicana Gardens Mall)","Seafood","4.8","(18)","Petaling Jaya",""
"j1f1","with MIN","Korean","5","(1)","Petaling Jaya",""
"lvpv","Tendon Kohaku (Tropicana Gardens Mall)","Chinese","4.8","(42)","Petaling Jaya",""
"ssna","Mr Tuk Tuk Cha Kafae","Asian","4.5","(7)","Petaling Jaya",""
"i2cp","Pasta Crafters (Tropicana Gardens Mall)","Asian","4.5","(27)","Petaling Jaya",""
"kb6t","Bread History (Sunway Giza Mall)","Cakes","4.5","(100+)","Petaling Jaya",""
"cogb","Ayam Penyet D'Kota (Tropicana Gardens Mall)","Ayam Penyet","4.6","(1000+)","Petaling Jaya",""
"h65c","Ainul Cookies & Coffee","Beverages","5","(35)","Petaling Jaya",""
"o4ng","Seppia & Polpo (Tropicana Avenue)","Pizza","4.6","(500+)","Petaling Jaya",""
"vaer","Juek Xing Kopi","Chinese","4.7","(100+)","Petaling Jaya",""
"dao0","HWC Coffee - Sunway Giza Kota Damansara","Asian","5","(27)","Petaling Jaya",""
"dpfw","Delay No More Crab Seafood Restaurant","Sandwiches","5","(1)","Petaling Jaya",""
"daw6","The Travelling Duck (Tropicana Garden Mall)","Chinese","4","(1)","Petaling Jaya",""
"gz9h","BMS Organics (Village Grocer Sunway Giza)","Healthy","4.6","(17)","Petaling Jaya",""
"s4ab","Baskin Robbins (Sunway Giza)","Desserts","4.7","(500+)","Petaling Jaya",""
"ljl9","Kanteen (Tropicana Avenue)","Asian","5","(17)","Petaling Jaya",""
"l2pu","Ah Yip Herbal Soup (Tropicana Gardens Mall)","Asian","4.4","(100+)","Petaling Jaya",""
"t9py","Ramen Bankara (Tropicana Gardens Mall)","Japanese","4.7","(100+)","Petaling Jaya",""
"kwqn","Lettuce & Rise (Tropicana Gardens Mall)","Seafood","4.6","(500+)","Petaling Jaya",""
"s9or","Boost Juice (Sunway Giza)","Juice","4.8","(1000+)","Petaling Jaya",""
"m9ls","Hameediyah Restaurant","Nasi Kandar","4.3","(1000+)","Petaling Jaya",""
"v1ti","Soong Kee Kota Damansara","Noodles","4.6","(100+)","Petaling Jaya",""
"r6fa","Tasty Porridge (Kota Damansara)","Porridge","4.7","(2000+)","Petaling Jaya",""
"n3cw","SEOUL CHICKEN (sunway gizamall)","Fried Chicken","4.7","(500+)","Petaling Jaya",""
"vyle","Ten Noodle Restaurant","Noodles","4.4","(100+)","Petaling Jaya",""
"n7oi","Shell Out (Kota Damansara)","Seafood","4.5","(100+)","Petaling Jaya",""
"s68y","Summer Breeze","Malaysian","3","(43)","Petaling Jaya",""
"numm","KOI Thé (Kota Damansara)","Asian","4.8","(100+)","Petaling Jaya",""
"n4kn","Eat Drink Thai (Kota Damansara)","Seafood","4.7","(500+)","Petaling Jaya",""
"np6b","Lol Soon Kee (Damansara)","Chinese","4.5","(100+)","Petaling Jaya",""
"c1yy","Bak Ku Teh Klang Yip Yong","Rice Dishes","4.6","(500+)","Petaling Jaya",""
"ircp","Takoyaki Lover","Asian","5","(10)","Petaling Jaya",""
"jb12","Restoran Kampung Pak Kopi Kaw 濃的傳人","Chinese","4.6","(100+)","Petaling Jaya",""
"p0ic","Burger King (Kota Damansara)","Burgers","4.6","(3000+)","Petaling Jaya",""
"i3ar","和樂屋 Warakuya Japanese Restaurant (Kota Damansara)","Japanese","4.4","(500+)","Petaling Jaya",""
"plbj","WANEEDA TOMYAM","Malaysian","4.5","(5000+)","Petaling Jaya",""
"z5h7","MAMBO NO.5","Malaysian","3.9","(3)","Petaling Jaya",""
"bc5q","NY Pizza Delivery","Pizza","4.1","(21)","Petaling Jaya",""
"r8pv","Sushi Zento (Sunway Giza)","Sushi","4.5","(100+)","Petaling Jaya",""
"r49e","Classic Taiwan Braised Pork Rice (Kota Damansara)","Chinese","4","(500+)","Petaling Jaya",""
"fy81","Amigos Restaurant","Chicken","4.8","(97)","Petaling Jaya",""
"q1mw","Ben Gong's Tea","Tea","4.8","(100+)","Petaling Jaya",""
"cso0","Moo-Ka-Ta Krua Thai (Kota Damansara)","Asian","4.8","(500+)","Petaling Jaya",""
"r5ct","Neighbourhood Food court","Malaysian","4.5","(100+)","Petaling Jaya",""
"ldz4","Restoran Hock Kee Ulu Yam Loh Mee (Kota Damansara)","Noodles","4.3","(500+)","Petaling Jaya",""
"t0v0","Omega Pork Noodle (Kota Damansara)","Chinese","4.7","(100+)","Petaling Jaya",""
"m8do","Khalifah Bistro (Dataran Sunway)","Roti Canai","4.6","(1000+)","Petaling Jaya",""
"k9jp","Mykori Dessert Cafe (Kota Damansara Dataran Sunway)","Desserts","4.2","(100+)","Petaling Jaya",""
"q2yu","Humairah Original Kelantan","Malaysian","4.4","(100+)","Petaling Jaya",""
"qrec","NASI KANDAR ZAYAN BISTRO","Nasi Kandar","4.3","(100+)","Petaling Jaya",""
"djw6","Restoran Salero Minang","13635 min","4.2","(100+)","Petaling Jaya",""
"foxj","Restoran Zayan Bistro","Malaysian","4.3","(100+)","Petaling Jaya",""
"oiig","Iron Moi Spicy Hot Pot (Kota Damansara)","Chinese","4.5","(48)","Petaling Jaya",""
"pkxx","Pasta Panas (Petronas Station Kota Damansara)","Pasta","4.6","(2000+)","Petaling Jaya",""
"exi6","Golden Claypot Chicken","Malaysian","4.6","(10)","Petaling Jaya",""
"f2tf","小小炒海鲜 （Neighbourhood Food Court）","Fried Rice","3.6","(54)","Petaling Jaya",""
"avwa","Nasi Lemak Kukus Annur Tanjung (Foodcourt)","Malaysian","4.8","(19)","Petaling Jaya",""
"jxoc","Mat Rock Ayam Goreng Kunyit (Kota Damansara)","Chicken","4.6","(3000+)","Petaling Jaya",""
"m4hl","MariMari Kopitiam","Malaysian","4.4","(5000+)","Petaling Jaya",""
"vng8","Takoza Snacks (Khalifah, Dataran Sunway)","Malaysian","4.7","(100+)","Petaling Jaya",""
"gbzr","Taiwan Dong Qu Restaurant (Kota Damansara)","Chinese","5","(1)","Petaling Jaya",""
"tmqh","Tomyam Seafood Annur Tanjung (Foodcourt)","Thai","4.7","(100+)","Petaling Jaya",""
"g3yt","The Brew House (Dataran Sunway, Kota Damansara)","Asian","4.7","(100+)","Petaling Jaya",""
"vp35","Nasi Ayam Nzw Mamii Glam Damansara","Chicken","4.6","(100+)","Petaling Jaya",""
"az9b","Shawarma, Nasi Arab & Kunafa","Middle Eastern","4.1","(58)","Petaling Jaya",""
"i2ea","Nasi Campur Annur Tanjung (Foodcourt)","Malaysian","4.9","(28)","Petaling Jaya",""
"bbix","Cik Melur @The Strand","Fried Rice","4.3","(500+)","Petaling Jaya",""
"d991","NZ Ali Bistro (The Strand)","Malaysian","4.6","(100+)","Petaling Jaya",""
"t0a8","Seri Malaya - Foodle (The Strand Mall)","Malaysian","3.8","(100+)","Petaling Jaya",""
"os9h","Kopi Tok Wan -  Foodle (The Strand Mall)","Asian","4.3","(55)","Petaling Jaya",""
"ncdn","Hasta La Pasta - Foodle (The Strand Mall)","Italian","3","(100+)","Petaling Jaya",""
"y4cc","Nasi Lemak Pak Long Tiger - Foodle (The Strand Mall)","Malaysian","3.4","(58)","Petaling Jaya",""
"em6p","Marroush - Foodle (The Strand Mall)","Asian","4","(100+)","Petaling Jaya",""
"pn85","OAK (Original Anak Kampung) - KD","Malaysian","4.5","(23)","Petaling Jaya",""
"egsp","Wakaka Eco Damansara (ECDS)","Pancakes & Waffles","4.6","(500+)","Petaling Jaya",""
"avl5","Ayam Kunyit Maharaja - Foodle (The Strand Mall)","Asian","3.6","(100+)","Petaling Jaya",""
"gyvh","Mr Churros - Kota Damansara","European","4.9","(100+)","Petaling Jaya",""
"p4mn","Waroeng Batavia","Malaysian","4.6","(500+)","Petaling Jaya",""
"neew","Borak – Borak Cafe","Malaysian","4.7","(500+)","Petaling Jaya",""
"xkc3","Ayam Goreng Tumbuk By Rumah Sambal","Chicken","4.5","(100+)","Petaling Jaya",""
"df6g","Mala Hotpot House 爱辣无忧· 麻辣家","Malaysian","4.5","(100+)","Petaling Jaya",""
"q3j1","Zapp Thai Cuisine/Mookata","Thai","4.3","(8)","Petaling Jaya",""
"v67m","KIYA'S RESTAURANT","Fried Rice","4.8","(20)","Petaling Jaya",""
"wq8t","The Hungry Wok - Foodle (The Strand Mall)","Asian","3.9","(100+)","Petaling Jaya",""
"o38k","Subway (Thomson Hospital)","Sandwiches","4.6","(500+)","Petaling Jaya",""
"noyl","I Am Geprek Bensu @ Foodle (The Strand Mall - Kota Damansara)","Malaysian","4.3","(1000+)","Petaling Jaya",""
"jsoa","Amazing Bakes","Cakes","3.2","(49)","Petaling Jaya",""
"ytld","Nasi Ayam Berapi - Foodle (The Strand Mall)","Malaysian","4","(100+)","Petaling Jaya",""
"n2wl","Martabak Bang! (Kota Damansara)","Desserts","4.5","(1000+)","Petaling Jaya",""
"s7cw","Kampung Kia Kota Damansara","Rice Dishes","4.3","(100+)","Petaling Jaya",""
"gp2h","SmashHouse Burgers - Foodle (The Strand Mall)","Asian","4.2","(97)","Petaling Jaya",""
"arkw","Foodle Food Hall - Foodle (The Strand Mall)","Asian","3.8","(100+)","Petaling Jaya",""
"jrtu","Semarak Corner","Fried Rice","4.7","(100+)","Petaling Jaya",""
"kkjz","Heemo's Pizza (Cova Square)","Asian","5","(4)","Petaling Jaya",""
"nez3","Abdullah Lee - Foodle (The Strand Mall)","Malaysian","2.4","(6)","Petaling Jaya",""
"y7kj","Em Teerak Sdn Bhd","Thai","3.1","(13)","Petaling Jaya",""
"t7ko","Richiamo Coffee (Strand Mall)","Malaysian","3.8","(2)","Petaling Jaya",""
"n4qr","Ai Nasi Lemak Ayam Berempah","Malaysian","4.6","(5000+)","Petaling Jaya",""
"sgw1","The Good Bowls & Pasta - Foodle (The Strand Mall)","Malaysian","3.6","(74)","Petaling Jaya",""
"s8nr","A1 Bistro","Malaysian","4.3","(500+)","Petaling Jaya",""
"p3zc","PUNJABI VIBES","Middle Eastern","4.4","(500+)","Petaling Jaya",""
"ptfy","833 Lok Lok & Bubble Tea","Asian","5","(5)","Petaling Jaya",""
"m8gp","Nasi Pak Man","Malaysian","4.5","(2000+)","Petaling Jaya",""
"pms2","CHICKEN ROYALE (Kota Damansara)","Asian","4.5","(1000+)","Petaling Jaya",""
"pos2","Mee Tarik Warisan Asli (Kota Damansara)","Noodles","4.7","(500+)","Petaling Jaya",""
"l93a","Restoran Vicchuda (Kota Damansara)","Malaysian","4.3","(2000+)","Petaling Jaya",""
"n8qc","Makan Heritage","Malaysian","4.4","(100+)","Petaling Jaya",""
"hk22","Koffee Kaw","Western","4.5","(100+)","Petaling Jaya",""
"t722","Anak Kampung @ Kota Damansara","Malaysian","4.7","(500+)","Petaling Jaya",""
"u41u","Chuan Wei Space Restaurant","Chinese","4.2","(4)","Petaling Jaya",""
"ly6n","KRB (Korean Rice Bowls) - Foodle (The Strand Mall)","Malaysian","4","(58)","Petaling Jaya",""
"n0dq","AYN ZAMZAM RESTAURANT KOTA DAMANSARA","Chicken","4.6","(1000+)","Petaling Jaya",""
"m8ny","Zahra Hadramawt Restaurant","Chicken","4.3","(2000+)","Petaling Jaya",""
"l3vc","Nasi Ambeng Mayya","Malaysian","4.6","(100+)","Petaling Jaya",""
"nrok","AYAM PENYET AP (Giant Kota Damansara)","Ayam Penyet","4.7","(1000+)","Petaling Jaya",""
"fp5r","D'Siantan Seafood @ Lid Tomyam","Malaysian","4.3","(100+)","Petaling Jaya",""
"sspz","麻辣兄弟 麻辣香锅 麻辣烫 Mala Hotpot (KD Branch)","Chinese","4.1","(5)","Petaling Jaya",""
"ys7c","WANEEDA TOMYAM (S2)","Seafood","4.6","(100+)","Petaling Jaya",""
"q9eq","Nasi Ayam Mewangi Azeem","Chicken","4.6","(5000+)","Petaling Jaya",""
"o7qz","Ujang Char Kuey Teow","Fried Rice","4.7","(5000+)","Petaling Jaya",""
"n6bk","Nasi Kandar Padang Kota (Cova Square)","Nasi Kandar","4.6","(2000+)","Petaling Jaya",""
"f1zu","Lid Tomyam","Fried Rice","4","(500+)","Petaling Jaya",""
"x1mm","Rudainee Tomyam","Thai","1.9","(2)","Petaling Jaya",""
"n6pl","KFC (Giant Kota Damansara)","Fried Chicken","4.3","(5000+)","Petaling Jaya",""
"m5eg","Pizza House","Pizza","4.4","(500+)","Petaling Jaya",""
"lml4","CincaiLah @ Maisson","Nasi Lemak","4.4","(100+)","Petaling Jaya",""
"y91z","Seng Yik Claypot Chicken Rice","Chinese","3","(35)","Petaling Jaya",""
"qfvk","Juicy Fresh Juice Bar (Giant Kota Damansara)","Juice","4.6","(100+)","Petaling Jaya",""
"r4zj","NASI LEMAK GULA HANGUS","Malaysian","4.6","(2000+)","Petaling Jaya",""
"s7np","RESTORAN LAKSASA","Seafood","4.7","(100+)","Petaling Jaya",""
"rkmw","Restoran Fung Mei 好风味海鲜饭店","Chinese","4.5","(1000+)","Petaling Jaya",""
"g0qu","Ayam Gepuk Pak Gembus (Pelangi)","Fried Chicken","4.4","(2000+)","Petaling Jaya",""
"u5xm","Shu Mala Hot Pot 蜀麻辣湘锅","Chinese","4.3","(100+)","Petaling Jaya",""
"m2ar","Seremban Siew Pow (Bandar Utama)","Sandwiches","3.4","(100+)","Petaling Jaya",""
"g0wy","Hot plate & claypot","Noodles","3.9","(100+)","Petaling Jaya",""
"vagy","D'TEBING CORNER KOTA DAMANSARA","Fried Rice","4.5","(500+)","Petaling Jaya",""
"pcoz","Ruuma (NSK Kota Damansara)","Asian","5","(44)","Petaling Jaya",""
"u3pp","BALI BAKAR @ Bandar Utama","Chicken","4.7","(500+)","Petaling Jaya",""
"r3ga","Original Penang Char Kueh Teow","Kuey Teow","4.2","(100+)","Petaling Jaya",""
"x0lz","Bask Bear Coffee (Aman Suria)","Sandwiches","4.6","(100+)","Petaling Jaya",""
"p3jg","Double Tea (Kota Damansara)","Malaysian","4.5","(1000+)","Petaling Jaya",""
"kjk3","Dapur Wawa","Cakes","4.8","(100+)","Petaling Jaya",""
"wbv8","Jeruk Madu Pak Ali Kota Damansara","Healthy","5","(7)","Petaling Jaya",""
"q5kp","7686 Choy Kor Homecook Recipes","Noodles","4.6","(500+)","Petaling Jaya",""
"jv4v","Restoran Serai Mas","Nasi Kukus","4.5","(100+)","Petaling Jaya",""
"z5x7","Little Pancake","Desserts","5","(22)","Petaling Jaya",""
"hm8p","Union Artisan Coffee - Centrepoint","Bread","4","(16)","Petaling Jaya",""
"k06t","FARZANA CORNER","Malaysian","4.4","(3000+)","Petaling Jaya",""
"p5ad","Khadijah satay nasi lemak royale","Chicken","4.7","(500+)","Petaling Jaya",""
"o6hp","Cawfee Tawk","Porridge","4.7","(100+)","Petaling Jaya",""
"smwg","Roasted Chicken House","Burgers","4.8","(100+)","Petaling Jaya",""
"n6yc","The Banana Leaf Restaurant","Chicken","4.5","(1000+)","Petaling Jaya",""
"r4ds","Burger Warisan","Burgers","4.8","(100+)","Petaling Jaya",""
"kep1","W PLACE","Asian","4.8","(10)","Petaling Jaya",""
"r9kc","Pak Bakar Burger","Burgers","4.8","(100+)","Petaling Jaya",""
"h3dt","Ramly burger sec 6","Healthy","4.8","(100+)","Petaling Jaya",""
"o5pf","Thaqwa Classic  (Ara Damansara)","Roti Canai","4.3","(1000+)","Petaling Jaya",""
"c2wy","GERAI YUSOF KULAAN","Nasi Lemak","4.7","(2000+)","Petaling Jaya",""
"r3nu","4Fingers Crispy Chicken (Petronas NKVE)","Chicken","4.6","(2000+)","Petaling Jaya",""
"ha3g","Satay King @ Restoran Coffeeman","Malaysian","4.2","(100+)","Petaling Jaya",""
"t7nu","LK Fish Ball Aman Suria (Ara Damansara)","Noodles","4.7","(1000+)","Petaling Jaya",""
"xjpz","KK VILLAS ENTERPRISE","Indian","4.2","(8)","Petaling Jaya",""
"n3av","HOT WOK KITCHEN","Chinese","3.9","(500+)","Petaling Jaya",""
"bnkb","Dong Dong Noodles 東東面馆","Noodles","4.5","(67)","Petaling Jaya",""
"y4ge","Restaurant DoReMi 123 (Hong Kee)","Chinese","4.4","(500+)","Petaling Jaya",""
"vitd","Kak Mah & Kak Yah","Nasi Lemak","4.6","(1000+)","Petaling Jaya",""
"p3cj","Restoran Nasi Kandar Subaidah (Kota Damansara)","Nasi Kandar","4.6","(10000+)","Petaling Jaya",""
"m2nr","Restoran Murah Rezeki","Roti Canai","4.7","(1000+)","Petaling Jaya",""
"dpz9","Taiwanese Braised Pork Ara Damansara","Chinese","4.8","(24)","Petaling Jaya",""
"zlmo","Dimsum (Ara Damansara)","Malaysian","5","(3)","Petaling Jaya",""
"hfed","Restoran Yuen Kee Home Town Steamed Fish","Chinese","4.6","(100+)","Petaling Jaya",""
"nl33","Gloria Jeans Coffees (BHP Sg Kayu Ara","Western","4.8","(74)","Petaling Jaya",""
"dna9","大山脚芋头饭 BM Yam Rice (Ara Damansara)","Chinese","4.9","(22)","Petaling Jaya",""
"p7nk","S One One (Ara Damansara)","Chinese","4.5","(100+)","Petaling Jaya",""
"s4ef","Ah San Bak Kut Teh","Chinese","4.3","(100+)","Petaling Jaya",""
"r1dr","AYAM PENYET 680","Ayam Penyet","4.3","(1000+)","Petaling Jaya",""
"i7lo","RESTORAN A MADINA","Roti Canai","4.7","(500+)","Petaling Jaya",""
"cfl4","Shahril Timur Syeksen 6","Malaysian","4","(47)","Petaling Jaya",""
"axey","A Kee Like Seafood Restaurant 记得来海鲜餐馆","Chinese","4.1","(500+)","Petaling Jaya",""
"f0yx","SHAWARMA WESTERN DELIGHT","Fast Food","3.9","(9)","Petaling Jaya",""
"or7p","NASI KANDAR GREENLANE","Nasi Kandar","4.6","(100+)","Petaling Jaya",""
