"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"ud9w","RESTORAN ABM MYDIN","Roti Canai","4.6","(500+)","Puchong",""
"q6tz","Restoran Benasir (Puchong Utama)","Roti Canai","4.3","(1000+)","Puchong",""
"wgey","Garage Makan","Malaysian","4.4","(100+)","Puchong",""
"zyhv","Restoran Fatema Bistro","Malaysian","4.8","(17)","Puchong",""
"p1pz","ABM Mydin Corner","Roti Canai","4.5","(1000+)","Puchong",""
"f0nj","Syed Bistro (Puchong)","Malaysian","4.7","(1000+)","Puchong",""
"q2tr","Restoran Maju Utama (Puchong)","Roti Canai","4.6","(1000+)","Puchong",""
"q0qh","Shanta's Spice Kitchen","Indian","4.5","(2000+)","Puchong",""
"p7mj","Restoran Nasi Kandar Belanga Maju","Nasi Kandar","4.4","(1000+)","Puchong",""
"sy0x","Sabrina Tomyam (Puchong)","Fried Rice","4.4","(100+)","Puchong",""
"gqu3","Nasi Lemak Yusuf","Nasi Lemak","4.4","(100+)","Puchong",""
"knm2","Phin Coffee","Coffee","5","(2)","Puchong",""
"cgbd","Nasi Kandar Tet & Nasi Kukus","Nasi Kandar","4.6","(100+)","Puchong",""
"x8ld","Jazmina Bistro","Roti Canai","4.5","(2000+)","Puchong",""
"nq8a","Sejati Tomyam","Asian","4.6","(100+)","Puchong",""
"v13r","KAK WAN TOM YAM","Malaysian","4.3","(500+)","Puchong",""
"dy6u","Restoran Ikram Bistro - Bandar Bukit Puchong","Malaysian","4.6","(21)","Puchong",""
"r3ks","Echa Burger Conner","Chicken","4.8","(1000+)","Puchong",""
"n8or","ABC Foods Corner (Puchong)","Indian","4.4","(5000+)","Puchong",""
"s10g","Restoran Nasi Kandar Al-Fatimah","Malaysian","4.6","(71)","Puchong",""
"n3vd","Bihun Sup Utara Daging Segenggam (Puchong Permai)","Noodles","4.7","(1000+)","Puchong",""
"vttt","THE N’s BITES","Desserts","4.8","(30)","Puchong",""
"zrfa","Ayam Gepuk Mak Deli","Malaysian","4.5","(36)","Puchong",""
"un36","J Signature @ Uptown Puchong Night Bazaar","Beverages","4.2","(98)","Puchong",""
"o9od","Leya Western & Pasta","Pasta","4.5","(1000+)","Puchong",""
"wp57","Leya Tomyam","Seafood","4.6","(40)","Puchong",""
"b6iq","ALA CARTE THAI PRIMAWALK","Thai","4.7","(2000+)","Puchong",""
"sfws","AINA TOMYAM PUCHONG","Asian","4.9","(5)","Puchong",""
"s7ax","RESTORAN AL Haji Bistro (Puchong)","Roti Canai","4.3","(100+)","Puchong",""
"cra1","Dapo Bawah Pokok","Seafood","4.5","(1000+)","Puchong",""
"vq9c","The Coaster Rio Puchong by Zen & Co","Asian","4.9","(3)","Puchong",""
"nl0r","RESTORAN TOMYAM KZ Puchong","Fried Rice","4.3","(1000+)","Puchong",""
"lvmv","Limau kasturi corner","Malaysian","4.5","(1000+)","Puchong",""
"o7i3","RESTORAN NASI KANDAR DIN","Nasi Kandar","4.3","(100+)","Puchong",""
"t4tt","The Coffee Bean & Tea Leaf (BANDAR PUTERI PUCHONG)","Coffee","4.8","(1000+)","Puchong",""
"p4hk","Nizam's A Royal Hyderabadi Biryani","Briyani","4.5","(1000+)","Puchong",""
"z4b7","R.SUKRI TOMYAM","Fried Rice","4.6","(1000+)","Puchong",""
"ilx9","Malee Saujana Seafood","Fried Rice","4.5","(500+)","Puchong",""
"ouhl","Aiskrim Malaysia Dapur Kecik Adzie","Malaysian","5","(26)","Puchong",""
"n7lx","Restoran Al-Afiffah Maju","Indian","4.4","(2000+)","Puchong",""
"dfnm","NO 7 MEAL","Chinese","2.9","(34)","Puchong",""
"ntit","食为福大炒 - Shek Wai Food Dai Chao","Chinese","4.5","(100+)","Puchong",""
"td38","JAZMINA CORNER","Malaysian","4.3","(51)","Puchong",""
"yijw","Hasana Bistro - Setiawalk","Malaysian","4","(10)","Puchong",""
"s9wr","Restoran Nasi Kandar Ar Belanga","Nasi Kandar","4.5","(1000+)","Puchong",""
"wzpr","Restoran Seri Mahkota","Roti Canai","4.6","(500+)","Puchong",""
"jjqv","KUEENZ SIDE WALK CAFE","Roti Canai","4.7","(500+)","Puchong",""
"n7vp","RESTORAN ZISHAN REZEKI","Indian","4.6","(100+)","Puchong",""
"ka3q","Restoran Abadi Bistro","Roti Canai","4.1","(100+)","Puchong",""
"o0me","Steak House (Everyday Foodcourt)","Pasta","4.6","(100+)","Puchong",""
"gp19","Xiao Ming HotPot - Everyday Foodcourt","Chinese","1","(1)","Puchong",""
"yu2l","Burger Blek Puchong","Burgers","4.5","(3)","Puchong",""
"o5kg","Pizza & Pasta (Everyday Foodcourt)","Pizza","4.2","(100+)","Puchong",""
"gb1h","Husin corner SEA Food","Asian","4.7","(91)","Puchong",""
"bbxd","Restoran Imran Rezeki","Roti Canai","4.4","(3000+)","Puchong",""
"o1bp","Nasi Kandar Pelita (Puchong)","Chicken","4.5","(2000+)","Puchong",""
"ekrm","Restoran Hameed Nasi Kandar","Asian","2.5","(3)","Puchong",""
"ihtq","Nasikandar Habeeb One Bistro","Asian","3.9","(26)","Puchong",""
"n4sp","Texas Chicken (Puchong Jaya)","Fast Food","4.5","(4000+)","Puchong",""
"izgh","Restoran Bonda","Malaysian","4.7","(100+)","Puchong",""
"qfp9","Restoran Nasi Kandar Mafana","Malaysian","4.2","(500+)","Puchong",""
"hlkq","Geylang Lor9 Fresh Frog Porridge Puchong","Asian","5","(8)","Puchong",""
"a2gc","Restoran B Bismi Bistro","Roti Canai","4.4","(1000+)","Puchong",""
"lsqe","China Chuan Ren 川人百味 (Puchong)","Asian","4.1","(100+)","Puchong",""
"o5ma","Restoran Rishadh","Indian","4.7","(500+)","Puchong",""
"i5vu","Restoran Aleefah @ SSS Maju","Roti Canai","4.4","(500+)","Puchong",""
"o5ew","Alibaba Restoran (Puchong BK 5)","Roti Canai","4.4","(500+)","Puchong",""
"r68l","MEEN MAJU FOOD CORNER","Satay","4.5","(100+)","Puchong",""
"o5yp","Alibaba Restoran (Puchong BK 5A)","Malaysian","4.2","(500+)","Puchong",""
"rlie","JAZMINA BISTRO","Malaysian","4.3","(100+)","Puchong",""
"znqo","NASI KANDAR MAMAK KITCHEN","Malaysian","4.5","(100+)","Puchong",""
"jd33","SHAH FOOD JUNKIES (CRISPY & JOHN)","Burgers","4.2","(100+)","Puchong",""
"n0pv","Rahman's Corner","Malaysian","4.3","(1000+)","Puchong",""
"vvl5","Js Kitchen","Malaysian","5","(3)","Puchong",""
"b05v","Restoran PP Satu","Roti Canai","4.6","(100+)","Puchong",""
"q7qd","Restoran Mas Seafood","Malaysian","4.5","(43)","Puchong",""
"pprl","Salwani Tom Yam","Fried Rice","4.5","(100+)","Puchong",""
"c45r","Sate D' Pantai (Puchong)","Chicken","4.4","(100+)","Puchong",""
"ms01","Pak Pothwar Pakistani Restaurant","13635 min","4","(9)","Puchong",""
"aaic","Warung Pak Janggut","Malaysian","4.6","(68)","Puchong",""
"djdx","Restoran Five Star - Bandar Kinrara","Malaysian","3.4","(5)","Puchong",""
"ax2i","Restoran Abm Mydin (Kinrara)","Asian","5","(5)","Puchong",""
"xuzf","Puteri Cafe","Malaysian","4.9","(7)","Puchong",""
"e6lw","Restoran Shafah (Puchong)","Roti Canai","4.3","(4000+)","Puchong",""
"xjay","BGR RIZKI ENTERPRISE","Burgers","4.6","(100+)","Puchong",""
"n1ow","Johan Seafood Restaurant","Fried Rice","4.4","(4000+)","Puchong",""
"qx1x","ALIF NUR RESTAURANT","Roti Canai","4.5","(100+)","Puchong",""
"x4ad","Daryna Seafood","Malaysian","2.5","(37)","Puchong",""
"pvzk","Moya (Biogreen)","Nasi Kukus","5","(1)","Puchong",""
"x6vj","Chicken Rice @ Maju jaya Foodcourt","Chicken","4.6","(500+)","Puchong",""
"ni8r","Nasi Kukus Royale - Puchong Utama","Malaysian","5","(3)","Puchong",""
"je20","FAT GIRL BBQ (Lorong Pasar)","Chinese","4.9","(27)","Puchong",""
"a6e0","Single dish rice /noodles 大排檔小炒 @ maju jaya foodcourt","Chinese","4.4","(500+)","Puchong",""
"kub4","Kipidap Sandwich and Snack","Ayam Penyet","5","(8)","Puchong",""
"q35n","4Fingers Crispy Chicken (Puchong Utama)","Chicken","4.5","(3000+)","Puchong",""
"g8d2","quickbite gourmet","Asian","5","(1)","Puchong",""
"fd4r","My Biryani House (Puchong)","Indian","4.5","(9)","Puchong",""
"husk","MALINDO 33","Malaysian","4","(10)","Puchong",""
"ejuj","Mr Churros Puchong Utama","Desserts","4.6","(100+)","Puchong",""
"o9ni","Nia's Kitchen","European","4.7","(2000+)","Puchong",""
"p3qr","SK Wantan Mee & Curry Mee Stall (Maju Jaya Foodcourt)","Noodles","4.6","(1000+)","Puchong",""
"e5lr","Pan Mee (Medan Selera Maju Jaya)","Noodles","4.4","(100+)","Puchong",""
"o80v","Burger Ketuk","Burgers","4.7","(10)","Puchong",""
"ltmq","Jam Curry House","Indian","3.9","(28)","Puchong",""
"p15j","D’Licious Borneo","Asian","4.1","(6)","Puchong",""
"vgky","Ayam Goreng Korea HUBMEAL (Puchong Utama)","Asian","5","(42)","Puchong",""
"l1ym","Penang Favorites (Aeon Big Puchong)","Chicken","4.7","(1000+)","Puchong",""
"fyl1","HAI ZHONG BAO SEAFOOD RESTAURANT (M) SB","Seafood","5","(8)","Puchong",""
"q9vl","Master Chicken Rice","Chicken","4.6","(500+)","Puchong",""
"l01h","Zaaty Rizqy Nasi Lemak Teh Tarik","Nasi Lemak","4.5","(82)","Puchong",""
"gd86","Meq Jue Thai Food","Asian","4","(88)","Puchong",""
"lqbv","chicken Rice n Roaster duck rice @majujaya food court","Chicken","4.3","(100+)","Puchong",""
"wxv0","Peter’s Chicken Floss Noodle","Curry","4.6","(20)","Puchong",""
"f8gx","Teo Chew Stewed Duck & Klang Bak Kut Teh","Malaysian","4.9","(18)","Puchong",""
"zh39","Heras Cafe","Chicken","4.3","(100+)","Puchong",""
"c2uh","Kam Kee Food Stall @ Maju Jaya Foodcourt","Chinese","4.6","(1000+)","Puchong",""
"k6b8","Char Kuey Teow @ Puchong Foodcourt Centre","Fried Rice","4.8","(100+)","Puchong",""
"kbvb","Dodo Breakfast (Restoran Puchong Food Court Centre）","Noodles","4.9","(24)","Puchong",""
"q239","BEST PENYET","Ayam Penyet","4.7","(1000+)","Puchong",""
"h6cx","Curry leaf","Indian","4.5","(19)","Puchong",""
"r5pm","GM banana leaf restaurant","Indian","4.5","(2000+)","Puchong",""
"wgrd","Single dish rice/fried noodles大排档小炒@majujaya foodcourt","Chinese","4.5","(500+)","Puchong",""
"ecto","Uncle's Briyani","Asian","5","(1)","Puchong",""
"esks","LAPO LAH CAFE","Malaysian","4.3","(100+)","Puchong",""
"gvoi","「壹加」漢堡站 YIJIA BURGER STATION @ Maju Jaya Food Court","Burgers","4.9","(100+)","Puchong",""
"uwxc","Double Star 99 @ Puchong Foodcourt Centre","Seafood","3.6","(14)","Puchong",""
"sser","Burger Cowboy Corner (Jalan Puchong)","Burgers","2.4","(2)","Puchong",""
"xzhj","Legasi Nasi Lemak (Puchong)","Nasi Lemak","4.6","(1000+)","Puchong",""
"cl1y","FOO MOON PORK NOODLE KING (Puchong Utama)","Noodles","4.6","(100+)","Puchong",""
"kkg4","AAGRA MESS","Indian","5","(16)","Puchong",""
"xilt","Bliss Confinement","Healthy","1.7","(8)","Puchong",""
