"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"s0fg","HAILAM KOPITIAM EKSPRESS","Chicken","4.5","(500+)","Putrajaya",""
"s9uv","FamilyMart (Famima - Menara Ikhlas)","Japanese","4.5","(3000+)","Putrajaya",""
"e8om","ALI MAJU KAFE (PRESINT 2)","Roti Canai","4.6","(4000+)","Putrajaya",""
"n7vd","Restoran Nasi Kandar Asli Shahnaz Maju (Ayer@8)","Nasi Kandar","4.3","(1000+)","Putrajaya",""
"iiw3","Richiamo Coffee (Menara Prisma)","Desserts","4.9","(26)","Putrajaya",""
"g2s7","Gloria Jean's Coffee JPM","Coffee","5","(14)","Putrajaya",""
"j1r5","Nasilemak 3 Rasa","Nasi Lemak","4.5","(100+)","Putrajaya",""
"zfz8","Nasi Lemak Ketagih (Putrajaya)","Nasi Lemak","4.6","(1000+)","Putrajaya",""
"o5ls","Nasi Kandar FN Bistro","Nasi Kandar","4.3","(2000+)","Putrajaya",""
"uflp","Gloria Jeans Coffee (Parcel F)","Bread","5","(5)","Putrajaya",""
"u5et","Subway (Putrajaya Presint 15)","Sandwiches","4.5","(2000+)","Putrajaya",""
"k0kt","RESTORAN HAJI TAPAH BISTRO","Roti Canai","4.6","(5000+)","Putrajaya",""
"vsy2","KOPITIAM 101","Chinese","3.3","(22)","Putrajaya",""
"t8ti","The Coffee Bean & Tea Leaf (IOI CITY MALL)","Coffee","4.9","(1000+)","Putrajaya",""
"mmfa","O'Briens Irish Sandwich Cafee (IOI City Mall)","Sandwiches","4.6","(100+)","Putrajaya",""
"i588","emart24 (IOI Conezion Putrajaya) (Restaurant)","Korean","4.6","(500+)","Putrajaya",""
"pzx7","HWC Coffee (IOI City Mall Putrajaya)","Coffee","4.7","(100+)","Putrajaya",""
"co6x","Bencoolen Coffee Putrajaya","Coffee","4.7","(72)","Putrajaya",""
"eeh7","MEE CELUP THAI WARISAN","Thai","4.5","(90)","Putrajaya",""
"wm5v","ABE MAT AYAM CINCANG (2)","Chicken","4.4","(100+)","Putrajaya",""
"lxm4","Ayamas Putrajaya (Presint 2)","Chicken","4.7","(1000+)","Putrajaya",""
"p4iw","Marrybrown (Putrajaya)","Rice Dishes","4.6","(5000+)","Putrajaya",""
"mw0x","Nasi Kandar Liga Maju Penang (Putrajaya)","Asian","4.6","(500+)","Putrajaya",""
"eafv","SAWADDEE THAI TOMYAM","Thai","4.4","(100+)","Putrajaya",""
"p5ra","Ans Station Foodtruck Putrajaya","Malaysian","4.5","(100+)","Putrajaya",""
"s2qo","Smoked Kingdom (Ayer 8, Putrajaya)","Pasta","4.6","(2000+)","Putrajaya",""
"cvey","Borak@Wan Cafe","Laksa","4.6","(100+)","Putrajaya",""
