"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"n6ap","Pine 38","Malaysian","4.6","(500+)","Shah Alam",""
"r5nl","Nasi Kandar Royale Amirah (Seksyen 9)","Nasi Kandar","4.6","(2000+)","Shah Alam",""
"vers","Shawarma House","Asian","4.6","(7)","Shah Alam",""
"diyz","D' Suria Cafe","Fried Rice","4.9","(46)","Shah Alam",""
"r42o","MEE BANDUNG MUAR HOUSE","Asian","4.1","(3)","Shah Alam",""
"swvy","The Kampung Cuisine","Malaysian","4.7","(17)","Shah Alam",""
"kr88","Nasi Lemak The Staydium","Malaysian","4.9","(15)","Shah Alam",""
"nnoy","Aeilah Mart Burger","Burgers","4.8","(11)","Shah Alam",""
"gngp","Pisang & Keju","Asian","2.6","(3)","Shah Alam",""
"axo6","Rafi Signature","Malaysian","5","(41)","Shah Alam",""
"v6fa","Deen Bistro","Malaysian","4.5","(79)","Shah Alam",""
"o7et","Nasi Lemak Cinta Sayang (Seksyen 13)","Nasi Lemak","4.7","(4000+)","Shah Alam",""
"mkvp","JOKER CAFE","Thai","4.9","(34)","Shah Alam",""
"s0ky","Rafi Bistro","Roti Canai","4.6","(2000+)","Shah Alam",""
"ib5l","Le Chef (Vista Alam)","Shawarma","4.6","(100+)","Shah Alam",""
"n4lb","Ss Nasi Kukus","Malaysian","4.5","(2000+)","Shah Alam",""
"xyor","Mukarami Coffee Sekysen 13","Pancakes & Waffles","4.7","(3000+)","Shah Alam",""
"a5ej","Nasi Lemak Royale Kedah (Shah Alam)","Rice Dishes","4.3","(1000+)","Shah Alam",""
"ngns","Dapur Panas Abe Dee","Malaysian","5","(1)","Shah Alam",""
"d424","Kek Batik Shah Alam","Noodles","4.9","(100+)","Shah Alam",""
"fl6l","Faaz Bee Bistro","Malaysian","5","(7)","Shah Alam",""
"naqz","Restoran Ahnaf Maju","Asian","4.8","(15)","Shah Alam",""
"p6vp","Planet Nasi Kukus Menara U (Shah Alam)","Nasi Kukus","4.8","(5000+)","Shah Alam",""
"o43u","Time Out Cafe @Shah Alam","Western","3.8","(98)","Shah Alam",""
"o2cg","Sawarabina Restaurant (Shah Alam)","Shawarma","3.9","(1000+)","Shah Alam",""
"o7yu","Tara Burger (Shah Alam)","Burgers","4.6","(1000+)","Shah Alam",""
"xfl5","THE KAMPUNG CUISINE","Malaysian","4.6","(100+)","Shah Alam",""
"pagr","Pearl Pani Puri","Asian","5","(1)","Shah Alam",""
"n1wt","Restoran Mashyur","Roti Canai","4.7","(1000+)","Shah Alam",""
"yi3m","RESTORAN AL-MOHAMED","Malaysian","4.4","(18)","Shah Alam",""
"h0f2","SRI PADINA TOMYAM SEAFOOD","Malaysian","4.5","(500+)","Shah Alam",""
"yc2d","Karipap Pahlawan","Malaysian","4.6","(100+)","Shah Alam",""
"pat6","Restoran Reko Satay Semeling","Malaysian","3.5","(28)","Shah Alam",""
"n4fc","IM Delicious Cafe","Malaysian","4.5","(3000+)","Shah Alam",""
"d9lo","RESTORAN SIDAH","Malaysian","4.6","(2000+)","Shah Alam",""
"kioc","RESTORAN HAMEEDS CORNER (SHAH ALAM)","Malaysian","4.7","(1000+)","Shah Alam",""
"u6sb","NASI LEMAK BERAS WANGI","Malaysian","4.4","(45)","Shah Alam",""
"v4mr","Laman Nurani Tomyam Seafood","Fried Rice","4.8","(500+)","Shah Alam",""
"l755","Dapur Panas Ala Thai Seksyen 19","Middle Eastern","4.8","(35)","Shah Alam",""
"kovj","Restoran Jelita","Asian","4.8","(100+)","Shah Alam",""
"c1m8","Restoran AMS Smart","Malaysian","3.3","(3)","Shah Alam",""
"j7ou","Restoran Ariff Bistro U12","Roti Canai","4.6","(1000+)","Shah Alam",""
"ijhz","Restoran Sifu Thai","Fried Rice","4.6","(100+)","Shah Alam",""
"o6rb","Thaqwa Classic (Seksyen 19)","Roti Canai","4.5","(5000+)","Shah Alam",""
"d8hm","ABE BURGER SEKSYEN 18","Burgers","4.9","(2000+)","Shah Alam",""
"mih0","Nurhuda Thai Tom Yam Original","Malaysian","4.5","(1000+)","Shah Alam",""
"a00r","PIQA Station","Desserts","4.4","(500+)","Shah Alam",""
"feg6","Route 1/10","Fried Rice","4.6","(500+)","Shah Alam",""
"y2bl","PakLong Satay Shah Alam","Chicken","4.7","(1000+)","Shah Alam",""
"f4xc","Nasi Lemak Royale","Malaysian","4.2","(100+)","Shah Alam",""
"f4m7","Alis Fried Chicken (Seksyen 7)","Malaysian","5","(2)","Shah Alam",""
"n7uv","Jack  7 Burger","Burgers","4.7","(2000+)","Shah Alam",""
"icx1","Thai Tomyam Classic (Jalan Plumbum)","Asian","4.5","(1000+)","Shah Alam",""
"o5gw","Restoran Hakim","Chicken","4.6","(15000+)","Shah Alam",""
"sk83","Dinnie Kitchen","Malaysian","4.7","(100+)","Shah Alam",""
"d78n","Kedai Makan PakLong","Chicken","4.4","(100+)","Shah Alam",""
"moyo","Pisang Cheese Jer","Malaysian","4.9","(100+)","Shah Alam",""
"mt02","RZ Tomyam (Shah Alam)","Malaysian","4.5","(52)","Shah Alam",""
"kw41","Sri Rampai G7 - Seksyen 24","Malaysian","4.5","(100+)","Shah Alam",""
"pk4a","d7 shawarma kebab","Asian","4.9","(23)","Shah Alam",""
"mxw3","Mie Burger dotcom","Burgers","4.6","(500+)","Shah Alam",""
"gckv","FRUIT FUSION HUB","Healthy","3","(6)","Shah Alam",""
"yoky","Mie Burger dotcom2","Burgers","4.9","(33)","Shah Alam",""
"ew4p","IMPIANA RIZKI THAI FOOD","Fried Rice","4.7","(500+)","Shah Alam",""
"v3ey","IMPIANA RIZKI THAI FOOD (SEKSYEN 17)","Malaysian","4.6","(100+)","Shah Alam",""
"oosk","RESTORAN HAJI DEEN","Roti Canai","4.1","(100+)","Shah Alam",""
"o9qe","Jang Otai Holiau","Malaysian","4.5","(3000+)","Shah Alam",""
"tnam","Zahraa Tomyam","Fried Rice","4.4","(100+)","Shah Alam",""
"u3pe","Dok'tor Tomyam Seafood","Malaysian","4.6","(2000+)","Shah Alam",""
"q5ay","Walida Ikan Bakar Seksyen 17","Fried Rice","4.4","(3000+)","Shah Alam",""
"qe2b","Selera Impian Istana","Malaysian","4.7","(100+)","Shah Alam",""
"a79w","Selera Istana ( Seksyen 17 )","Malaysian","4.6","(99)","Shah Alam",""
"txzp","Nasi Kandar Stadium (I-city)","Malaysian","4.9","(8)","Shah Alam",""
"wd79","Restoran Ria","Roti Canai","4.7","(1000+)","Shah Alam",""
"o7cu","Restoran Sri Shazz","Roti Canai","4.6","(3000+)","Shah Alam",""
"a2ta","The Big Mug Uptown","Malaysian","4.4","(48)","Shah Alam",""
"cke6","Kedai Makan Yum Yum Thai","Thai","4.4","(63)","Shah Alam",""
"ue86","Haji Ramli Maju Nasi Kandar","Malaysian","4.6","(19)","Shah Alam",""
"aup2","Mad Krapow","Thai","4.8","(100+)","Shah Alam",""
"n3x5","Restaurant Kapitan (Desa Alam)","Asian","4.8","(36)","Shah Alam",""
