"year","month","FoodType","averagerating","totalreview"
"2023","03",Asian,3.7,431
"2023","03",Ayam Penyet,3.7,70
"2023","03",Beverages,3.9,102
"2023","03",Bread,3.8,38
"2023","03",Briyani,3.0,42
"2023","03",Bubble Tea,3.5,8
"2023","03",Burgers,4.2,104
"2023","03",Cakes,4.2,26
"2023","03",Chicken,3.8,654
"2023","03",Chicken Chop,3.7,11
"2023","03",Chicken Rice,3.3,56
"2023","03",Chinese,3.5,221
"2023","03",Curry,3.8,15
"2023","03",Desserts,4.1,44
"2023","03",Dim Sum ,4.7,3
"2023","03",Dumpling,3.0,4
"2023","03",European,3.9,11
"2023","03",Fast Food,2.9,97
"2023","03",Fried Chicken,2.9,132
"2023","03",Fried Rice,3.6,527
"2023","03",Fries,3.0,1
"2023","03",Grill,1.0,1
"2023","03",Halal,2.0,1
"2023","03",Healthy,3.2,15
"2023","03",HomeChef,3.0,1
"2023","03",Ice Cream,5.0,2
"2023","03",Indian,3.2,194
"2023","03",International,3.3,4
"2023","03",Italian,3.0,2
"2023","03",Japanese,3.5,31
"2023","03",Juice,3.6,14
"2023","03",Korean,3.8,35
"2023","03",Kuey Teow,3.8,9
"2023","03",Laksa,3.4,20
"2023","03",Malaysian,3.6,1209
"2023","03",Mee Goreng,5.0,2
"2023","03",Middle Eastern,3.7,28
"2023","03",Nasi Kandar,3.7,64
"2023","03",Nasi Kerabu,3.9,37
"2023","03",Nasi Kukus,4.1,70
"2023","03",Nasi Lemak,3.8,157
"2023","03",Noodles,3.7,160
"2023","03",Pancakes & Waffles,4.3,31
"2023","03",Pasta,3.3,54
"2023","03",Pisang Goreng,4.2,19
"2023","03",Pizza,3.8,24
"2023","03",Poke Bowl ,5.0,5
"2023","03",Porridge,3.8,20
"2023","03",Ramen,5.0,1
"2023","03",Rice Dishes,3.9,93
"2023","03",Roti Canai,3.5,347
"2023","03",Salads,5.0,1
"2023","03",Sandwiches,3.4,67
"2023","03",Satay,3.8,30
"2023","03",Seafood,4.1,53
"2023","03",Shawarma,3.6,31
"2023","03",Snacks,4.1,8
"2023","03",Soups,3.4,65
"2023","03",Sushi,3.9,10
"2023","03",Takoyaki,4.2,22
"2023","03",Thai,3.6,126
"2023","03",Tom Yum,4.3,13
"2023","03",Vegetarian,3.4,22
"2023","03",Western,3.6,39
"2023","03",Wraps,3.8,5
"2023","04",Asian,3.4,824
"2023","04",Ayam Penyet,3.5,163
"2023","04",Beverages,4.1,204
"2023","04",Bread,3.7,57
"2023","04",Briyani,3.8,68
"2023","04",Bubble Tea,3.4,27
"2023","04",Burgers,4.0,216
"2023","04",Cakes,3.9,49
"2023","04",Chicken,3.5,1374
"2023","04",Chicken Chop,3.8,31
"2023","04",Chicken Rice,3.4,136
"2023","04",Chinese,3.6,510
"2023","04",Curry,3.7,22
"2023","04",Desserts,3.6,90
"2023","04",Dim Sum ,3.1,13
"2023","04",Dumpling,3.4,16
"2023","04",European,3.8,16
"2023","04",Fast Food,2.8,222
"2023","04",Fried Chicken,3.0,223
"2023","04",Fried Rice,3.6,1026
"2023","04",Fries,4.2,5
"2023","04",Grill,2.0,2
"2023","04",Healthy,3.5,20
"2023","04",Indian,3.0,411
"2023","04",International,3.7,3
"2023","04",Italian,3.8,5
"2023","04",Japanese,3.4,56
"2023","04",Juice,4.0,23
"2023","04",Korean,3.3,83
"2023","04",Kuey Teow,4.1,16
"2023","04",Laksa,3.4,73
"2023","04",Malaysian,3.5,2402
"2023","04",Middle Eastern,3.4,66
"2023","04",Nasi Kandar,3.5,266
"2023","04",Nasi Kerabu,3.7,66
"2023","04",Nasi Kukus,4.0,142
"2023","04",Nasi Lemak,3.6,255
"2023","04",Noodles,3.5,287
"2023","04",Pancakes & Waffles,4.0,53
"2023","04",Pasta,3.6,134
"2023","04",Pisang Goreng,2.8,16
"2023","04",Pizza,2.2,153
"2023","04",Poke Bowl ,4.0,3
"2023","04",Porridge,4.0,30
"2023","04",Rice Dishes,3.5,183
"2023","04",Roti Canai,3.1,970
"2023","04",Salads,2.3,3
"2023","04",Sandwiches,3.3,123
"2023","04",Satay,4.0,59
"2023","04",Seafood,3.3,156
"2023","04",Shawarma,3.8,82
"2023","04",Snacks,3.9,13
"2023","04",Soups,3.9,94
"2023","04",Sushi,2.8,16
"2023","04",Takoyaki,4.4,32
"2023","04",Thai,3.6,214
"2023","04",Tom Yum,3.5,19
"2023","04",Vegetarian,4.0,64
"2023","04",Western,4.1,103
"2023","04",Wraps,4.0,6
"2023","05",Asian,3.7,1849
"2023","05",Ayam Penyet,3.9,416
"2023","05",Beverages,4.0,499
"2023","05",Bread,3.8,112
"2023","05",Briyani,3.9,121
"2023","05",Bubble Tea,3.7,63
"2023","05",Burgers,4.3,555
"2023","05",Cakes,4.1,79
"2023","05",Chicken,3.8,2515
"2023","05",Chicken Chop,4.4,84
"2023","05",Chicken Rice,3.8,186
"2023","05",Chinese,3.5,806
"2023","05",Curry,3.9,36
"2023","05",Desserts,3.9,279
"2023","05",Dim Sum ,3.9,43
"2023","05",Dumpling,3.6,19
"2023","05",European,4.0,33
"2023","05",Fast Food,3.2,344
"2023","05",Fried Chicken,3.4,418
"2023","05",Fried Rice,3.8,2451
"2023","05",Fries,4.4,5
"2023","05",Grill,3.5,2
"2023","05",Healthy,3.3,38
"2023","05",HomeChef,3.8,5
"2023","05",Ice Cream,5.0,2
"2023","05",Indian,3.5,596
"2023","05",International,4.2,17
"2023","05",Italian,3.4,24
"2023","05",Japanese,3.7,116
"2023","05",Juice,4.2,39
"2023","05",Korean,4.0,162
"2023","05",Kuey Teow,4.0,86
"2023","05",Laksa,3.7,159
"2023","05",Malaysian,3.8,5219
"2023","05",Mee Goreng,5.0,2
"2023","05",Middle Eastern,3.4,110
"2023","05",Nasi Kandar,3.5,315
"2023","05",Nasi Kerabu,3.9,198
"2023","05",Nasi Kukus,4.0,343
"2023","05",Nasi Lemak,3.9,1005
"2023","05",Non-Halal,4.0,2
"2023","05",Noodles,3.8,515
"2023","05",Pancakes & Waffles,4.1,153
"2023","05",Pasta,3.9,249
"2023","05",Pisang Goreng,3.9,53
"2023","05",Pizza,3.2,118
"2023","05",Poke Bowl ,4.0,5
"2023","05",Porridge,3.8,98
"2023","05",Ramen,3.1,7
"2023","05",Rice Dishes,3.7,382
"2023","05",Roti Canai,3.5,1463
"2023","05",Salads,3.4,11
"2023","05",Sandwiches,3.9,276
"2023","05",Satay,3.7,103
"2023","05",Seafood,3.9,265
"2023","05",Shawarma,3.9,150
"2023","05",Snacks,3.9,20
"2023","05",Soups,4.1,222
"2023","05",Sushi,3.8,42
"2023","05",Takoyaki,4.4,109
"2023","05",Thai,3.7,460
"2023","05",Tom Yum,3.4,52
"2023","05",Vegetarian,3.9,114
"2023","05",Western,3.9,240
"2023","05",Wraps,3.5,10
"2023","06",American,5.0,2
"2023","06",Asian,3.7,1857
"2023","06",Ayam Penyet,4.0,382
"2023","06",Beverages,3.9,395
"2023","06",Bread,3.8,115
"2023","06",Briyani,3.6,114
"2023","06",Bubble Tea,3.2,49
"2023","06",Burgers,4.3,527
"2023","06",Cakes,4.1,109
"2023","06",Chicken,3.8,2380
"2023","06",Chicken Chop,4.1,87
"2023","06",Chicken Rice,3.2,161
"2023","06",Chinese,3.6,759
