"StoreId","storename","FoodType","AverageRating","City","totalcustomer","totalreturningcustomer","totalreview"
a05y,Candies Inn,Malaysian,4.1,Kuala Lumpur,1,0,1
a0cn,Burnin' Pit,Western,4.6,Kuala Lumpur,2,0,2
a0qm,Restoran Leo Corner by Suriani,Asian,4.2,Kuala Lumpur,11,0,11
a0rq,Lebai Western Food,Pasta,4.4,Kuala Lumpur,9,2,11
a0sz,Kari Kepala Ikan AB Corner Wangsa Maju,Chicken,4.5,Kuala Lumpur,127,20,155
a0xg,Ramen Bankara (Avenue K),Japanese,4.8,Kuala Lumpur,1,0,1
a1h8,NASI KUKUS AYAM GORENG BEREMPAH,Malaysian,3.5,Kuala Lumpur,1,0,1
a1kf,Gerai Nasi Ayam Panggang Air Asam,Chicken,4.7,Kuala Lumpur,6,0,6
a1r1,D'selera Tomyam & Masakan Panas,Malaysian,4.6,Kuala Lumpur,24,3,27
a2fc,KungFu Sushi (M3 Shopping Mall),Sushi,2.9,Kuala Lumpur,4,0,4
a2my,Restoran anandur,Malaysian,4.4,Kuala Lumpur,7,0,7
a2tq,Grill Food Teppanyaki,Malaysian,4.6,Kuala Lumpur,8,0,8
a38n,"KAK YAH NASI LEMAK (TAMAN MELATI, GOMBAK)",Nasi Lemak,4.8,Kuala Lumpur,129,27,179
a3c6,UR SNACK,Western,4.1,Kuala Lumpur,24,7,34
a3cj,Restoran Insaf Signature ( Restoran Insaf Lama),Briyani,4.5,Kuala Lumpur,19,1,21
a3el,Jie Shien 日善( Japanese Tappanyaki & Ramen ) No Pork,Chinese,4.9,Kuala Lumpur,1,0,1
a3ju,Rahmad Bin Abdullah,Malaysian,4.7,Kuala Lumpur,252,23,324
a3nu,AKS Corner,Indian,4.8,Kuala Lumpur,11,1,12
a3uu,Hadramout Express,Middle Eastern,4.7,Kuala Lumpur,3,1,4
a3va,新天地小炒(Medan Selera Mega),Chinese,4.7,Kuala Lumpur,39,3,59
a3zc,Soya Soya,Asian,4.8,Kuala Lumpur,13,4,20
a4dq,Nasi Ayam Ibu,Noodles,4.8,Kuala Lumpur,10,1,13
a4j3,Astaka Western Corner,European,5.0,Kuala Lumpur,1,0,1
a4jf,Laksa Utara Kak Ani,Laksa,4.7,Kuala Lumpur,30,4,34
a4nb,Quivo (Pavilion),Italian,4.8,Kuala Lumpur,5,0,5
a4tt,Restoran Hock Kee Ulu Yam Loh Mee (OUG),Noodles,4.4,Kuala Lumpur,59,5,68
a5ag,Niamh Coffee & Dessert - Kampung Baru,Beverages,5.0,Kuala Lumpur,1,0,1
a5ru,DOVE CAFE @Melawati Mall,Western,4.4,Kuala Lumpur,6,1,7
a6au,arzu restaurant,Malaysian,3.7,Kuala Lumpur,17,3,20
a6nf,Restoran 22 Best Corner ( Princess Chicken Rice ),Chicken Rice,4.6,Kuala Lumpur,5,0,5
a6rh,Kedai Makan Hafiz (Pantai Murni 6),Malaysian,4.4,Kuala Lumpur,705,128,932
a6so,HiPro (Bangsar Village),Pancakes & Waffles,4.5,Kuala Lumpur,1,0,1
a6yo,The Rice,Chinese,4.8,Kuala Lumpur,5,1,6
a7dx,BeRempahh! (Mytown),Roti Canai,4.7,Kuala Lumpur,2,0,2
a7yn,Wan Tan Mee@ Restoran Sepetang,Noodles,4.4,Kuala Lumpur,7,1,8
a7yv,Mama Tako & Sushi-KitchenCo Bangsar,Asian,4.0,Kuala Lumpur,16,2,18
a8hf,S Double One Restaurant (Hartamas),Chicken,4.2,Kuala Lumpur,5,1,6
